"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
sti_repeat,sti_register,,radio,"<font color=""blue""><b>STI-3</b></font> New or Repeat STI Episode","N, New | R, Repeat",,,,,,"[sti_access] = 'Y'",y,,,,,
sti_syndrome,sti_register,,checkbox,"<font color=""blue""><b>STI-4</b></font> Indicate the syndrome as indicated below.","1, Urethral discharge | 2, Genital Ulcer | 3, Vaginal discharge | 4, Lower abdominal pain (women) | 5, Inguinal bubo | 6, Acute scrotal swelling | 7, Opthalmia Neonatorum | 8, Balanitis and Balanopostitis | 9, Genital Warts | 10, Congenital syphilis | 11, Anal Warts | 12, Gernital Herpes | 13, Other, | 14, NIL",,,,,,"[sti_access] = 'Y'",y,,,,,
sti_syndrome_other,sti_register,,text,"<font color=""blue""><b>STI-4b</b></font> Other specify",,,,,,,"[sti_syndrome(13)] = '1'",y,,,,,
sti_syphilis_test,sti_register,"<font color=""red""><b>Syphilis</b></font>",yesno,"<font color=""blue""><b>STI-5</b></font> Tested for syphilis?",,,,,,,"[sti_access] = 'Y'",y,,,,,
sti_syphilis_test_why,sti_register,,radio,"<font color=""blue""><b>STI-6</b></font> Purpose for syphilis testing?","a, Antenatal | b, Sexual Abuse | c, Contact | d, Syphilis exposed infant | e, STI client | f, Partner of pregnant/ Breastfeeding woman | g, Other, | h, NIL",,,,,,"[sti_syphilis_test] = '1'",y,,,,,
sti_syph_test_why_other,sti_register,,text,"<font color=""blue""><b>STI-6a</b></font> Specify",,,,,,,"[sti_syphilis_test_why] = 'g'",y,,,,,
sti_syphilis_result,sti_register,,radio,"<font color=""blue""><b>STI-7</b></font> Syphilis testing result?","P, Positive | N, Negative | NL, NIL",,,,,,"[sti_syphilis_test] = '1'",y,,,,,
sti_syphilis_test_nd,sti_register,,notes,"<font color=""blue""><b>STI-7b</b></font>  Why was client not tested?",,,,,,,"[sti_syphilis_test] = '0'",y,,,,,
sti_gonorrhea_test,sti_register,"<font color=""red""><b>Gonorrhea</b></font>",yesno,"<font color=""blue""><b>STI-8</b></font> Tested for gonorrhea?",,,,,,,"[sti_access] = 'Y'",y,,,,,
sti_gonorrhea_nd,sti_register,,notes,"<font color=""blue""><b>STI-8b</b></font>  Why was client not tested for gonorrhea?",,,,,,,"[sti_gonorrhea_test] = '0'",y,,,,,
sti_gonorrhea_test_why,sti_register,,radio,"<font color=""blue""><b>STI-9</b></font> Purpose for gonorrhea testing?","a, Antenatal | b, Sexual Abuse | c, Contact | d, Syphilis exposed infant | e, STI client | f, Partner of pregnant/ Breastfeeding woman | g, Other, | h, NIL",,,,,,"[sti_gonorrhea_test] = '1'",y,,,,,
sti_gonorr_test_why_other,sti_register,,text,"<font color=""blue""><b>STI-9a</b></font> Specify",,,,,,,"[sti_gonorrhea_test_why] = 'g'",,,,,,
sti_gonorrhea_result,sti_register,,radio,"<font color=""blue""><b>STI-10</b></font> Gonorrhea testing result","P, Positive | N, Negative, | NL, NIL",,,,,,"[sti_gonorrhea_test] = '1'",y,,,,,
sti_patient_treated,sti_register,"<font color=""red""><b>Treatment</b></font>",yesno,"<font color=""blue""><b>STI-11</b></font> Was the patient treated?",,,,,,,"[sti_access] = 'Y'",y,,,,,
sti_treatment,sti_register,,notes,"<font color=""blue""><b>STI-11b</b></font> Write actual treatment given in full, indicating dose, frequency and duration.",,,,,,,"[sti_access] = 'Y'",y,,,,," @HIDDEN"
sti_hiv_test,sti_register,"<font color=""red""><b>HIV</b></font>",yesno,"<font color=""blue""><b>STI-12</b></font> Was client tested for HIV?",,,,,,,"[sti_access] = 'Y'",y,,,,,
sti_hiv_test_result,sti_register,,radio,"<font color=""blue""><b>STI-12b</b></font> Indicate HIV result","P, Positive | N, Negative | I, Inconclusive | NA, Not Applicable",,,,,,"[sti_hiv_test] = '1'",y,,,,,
sti_hiv_test_nd,sti_register,,notes,"<font color=""blue""><b>STI-12c</b></font> Why was client not tested for HIV?",,,,,,,"[sti_hiv_test] = '0'",y,,,,,
sti_contact_recieved,sti_register,"<font color=""red""><b>STI Contacts</b></font>",yesno,"<font color=""blue""><b>STI-13</b></font> STI Contact slips recieved",,,,,,,"[sti_access] = 'Y'",y,,,,,
sti_contact_treated,sti_register,,yesno,"<font color=""blue""><b>STI-14</b></font> STI Contact treated?",,,,,,,"[sti_access] = 'Y'",y,,,,,
fp_access,family_planning,,radio,"<span style=""color: green;""><strong>FP-S</strong></span> Did the client access this service?","Y, Yes | N, No | UN, Unverified",,,,,,,y,,,,,
fp_date,family_planning,,text,"<span style=""color: green;""><strong>FP-0</strong></span> Date of encounter (Family Planning)",,,date_ymd,,,,"[fp_access] = 'Y'",y,,,,,
fp_client_category,family_planning,,radio,"<span style=""color: green;""><strong>FP-1</strong></span> Family Planning Client Category","N, New User | R, Repeat User, | NL, NIL",,,,,,"[fp_access] = 'Y'",y,,,,,
fp_on_contra,family_planning,,yesno,"<span style=""color: green;""><strong>FP-2</strong></span> Is the client currently on any contraception?",,,,,,,"[fp_access] = 'Y'",y,,,,,
fp_no_contra_why,family_planning,,notes,"<span style=""color: green;""><strong>FP-2a</strong></span> Why is the client not on contraception?",,,,,,,"[fp_on_contra] = '0'",y,,,,,
fp_want_contra,family_planning,,yesno,"<span style=""color: green;""><strong>FP-3</strong></span> Does the client want to be on contraception?",,,,,,,"[fp_access] = 'Y'",y,,,,,
fp_not_want_contra_why,family_planning,,notes,"<span style=""color: green;""><strong>FP-3a</strong></span> If not, why does the client not want to be on contraception?",,,,,,,"[fp_want_contra] = '0'",y,,,,,
fp_method,family_planning,,checkbox,"<span style=""color: green;""><strong>FP-4</strong></span> Which family planning method has the client come for?","1, Progestogen only Pills | 2, Combined Oral Pills | 3, Emergency Contraceptives | 4, Injectables | 5, Implants | 6, IUCD (Intra-Uterine Devices) | 7, Tubal Ligation | 8, Vasectomy | 9, Male Condoms | 10, Female Condoms | 11, NIL",,,,,,"[fp_access] = 'Y'",y,,,,,
fb_progesto_status,family_planning,,radio,"<span style=""color: green;""><strong>FP-4a</strong></span> For Progestogen only Pills, is the client a new user or a repeat user?","N, New User | R, Repeat User, | NL, NIL",,,,,,"[fp_method(1)] = '1'",y,,,,,
fb_combinedoral_status,family_planning,,radio,"<span style=""color: green;""><strong>FP-4b</strong></span> For Combined Oral Pills, is the client a new user or a repeat user?","N, New User | R, Repeat User | NL, NIL",,,,,,"[fp_method(2)] = '1'",y,,,,,
fb_emcontra_status,family_planning,,radio,"<span style=""color: green;""><strong>FP-4c</strong></span> For Emergency Contraceptives is the client a new user or a repeat user?","N, New User | R, Repeat User | NL, NIL",,,,,,"[fp_method(3)] = '1'",y,,,,,
fb_injectables_type,family_planning,,radio,"<span style=""color: green;""><strong>FP-4d</strong></span> Which type of Injectables  is the client taking?","1, DMPA Intramuscular | 2, DMPA Subcutaneous, | 3, NIL",,,,,,"[fp_method(4)] = '1'",y,,,,,
fp_intramuscular_status,family_planning,,radio,"<span style=""color: green;""><strong>FP-4di</strong></span> For DMPA Intramuscular, is the client a new user or a repeat user?","N, New User | R, Repeat User | NL, NIL",,,,,,"[fb_injectables_type] = '1'",y,,,,,
fp_subcutaneous_status,family_planning,,radio,"<span style=""color: green;""><strong>FP-4dii</strong></span> For DMPA Subcutaneous, is the client a new user or a repeat user?","N, New User | R, Repeat User | NL, NIL",,,,,,"[fb_injectables_type] = '2'",y,,,,,
fp_implant_period,family_planning,,radio,"<span style=""color: green;""><strong>FP-4e</strong></span> For Implants, which period is it for?","1, Three Years | 2, Five Years | 3, NIL",,,,,,"[fp_method(5)] = '1'",y,,,,,
fp_3_status,family_planning,,radio,"<span style=""color: green;""><strong>FP-4ei</strong></span> For 3 year implant is it a new insertion , repeat insertion or for removal?","1, New Insertion | 2, Repeat Insertion | 3, Removals, | 4, NIL",,,,,,"[fp_implant_period] = '1'",y,,,,,
fp_5_status,family_planning,,radio,"<span style=""color: green;""><strong>FP-4eii</strong></span> For 5 year implant is it a new insertion,  repeat insertion or for removal?","1, New Insertion | 2, Repeat Insertion | 3, Removals | 4, NIL",,,,,,"[fp_implant_period] = '2'",y,,,,,
fp_iucd_type,family_planning,,radio,"<span style=""color: green;""><strong>FP-4f</strong></span> What type of IUCD is it?","1, Copper T (Non-hormonal) | 2, LNG-IUS (Hormonal) | 3, NIL",,,,,,"[fp_method(6)] = '1'",y,,,,,
fp_coppert_status,family_planning,,radio,"<span style=""color: green;""><strong>FP-4fi</strong></span> For Copper-T is it a new insertion, repeat insertion or removal?","1, New Insertions | 2, Repeat Insertions | 3, Removals | 4, NIL",,,,,,"[fp_iucd_type] = '1'",y,,,,,
fp_lnguis_status,family_planning,,radio,"<span style=""color: green;""><strong>FP-4fii</strong></span> For LNG-UIS is it a new insertion, repeat insertion or removal?","1, New Insertions | 2, Repeat Insertions | 3, Removals | 4, NIL",,,,,,"[fp_iucd_type] = '2'",y,,,,,
fp_method_prov,family_planning,,checkbox,"<span style=""color: green;""><strong>FP-5</strong></span> Family Planning Method Provided?","1, Pill | 2, Injectable | 3, Implant | 4, IUCD | 5, Condom | 6, Permanent Method | 7, Other (Specify) | 8, NIL",,,,,,"[fp_access] = 'Y'",,,,,,
fp_method_specify,family_planning,,notes,"<span style=""color: green;""><strong>FP-5b</strong></span> Other (Family Planning Method Provided) Specify?",,,,,,,"[fp_method_prov(7)] = '1'",y,,,,,
prepr_access,prep_initial_register,,radio,"<span style=""color: green;""><strong>PrePr-S</strong></span> Did the client access this service?","Y, Yes | N, No | UN, Unverified",,,,,,,y,,,,,
prepr_date,prep_initial_register,,text,"<span style=""color: green;""><strong>PrePr-0</strong></span> Enroll Date (Prep)",,,date_ymd,,,,"[prepr_access] = 'Y'",y,,,,,
prepr_transfer_in,prep_initial_register,,yesno,"<span style=""color: green;""><strong>PrePr-1</strong></span> Transfer In",,,,,,,"[prepr_access] = 'Y'",y,,,,,
prepr_screened,prep_initial_register,,yesno,"<span style=""color: green;""><strong>PrEPr-2</strong></span> Was the client screened for PrEP eligibility?",,,,,,,"[prepr_access] = 'Y'",y,,,,,
prepr_screen_outcome,prep_initial_register,,radio,"<span style=""color: green;""><strong>PrEPr-2b</strong></span> What was the screening outcome?","E, Eligible | NE, Not Eligible",,,,,,"[prepr_screened] = '1'",y,,,,,
prepr_clinical_eligible,prep_initial_register,,yesno,"<span style=""color: green;""><strong>PrEPr-3</strong></span> Clinical eligibility?",,,,,,,"[prepr_access] = 'Y'",y,,,,,
prepr_visit_status,prep_initial_register,,radio,"<span style=""color: green;""><strong>PrEPr-4</strong></span> Prep  status at this visit?","N, Newly Initiated on PrEP | C, Continuing PrEP | D, Discontinued Prep",,,,,,"[prepr_access] = 'Y'",y,,,,,
prepr_discontinued_reason,prep_initial_register,,checkbox,"<span style=""color: green;""><strong>PrEPr-5</strong></span> Prep  status at this visit?","1, Change in risk profile | 2, Plans to reinitiate in the future | 3, Mild adverse events | 4, Moderate adverse events | 5, Severe adverse events | 6, Creatinine fail/renal impairment | 7, Partner or parent concerns | 8, Prefers other HIV prevention strategies | 9, Pill burden | 10, Change in location | 11, Fear or periodic HIV retest | 12, Other (Specify)",,,,,,"[prepr_visit_status] = 'D'",y,,,,,
prepr_discontinued_specify,prep_initial_register,,notes,"<span style=""color: green;""><strong>PrEPr-5b</strong></span> Specify why prepr was discontinued?",,,,,,,"[prepr_discontinued_reason(12)] = '1'",y,,,,,
prepr_prep_type,prep_initial_register,,radio,"<span style=""color: green;""><strong>PrEPr-6</strong></span> PrEP type","O, Oral, | R, Ring | I, Injectible",,,,,,"[prepr_access] = 'Y'",y,,,,,
prepr_prep_number,prep_initial_register,,text,"<span style=""color: green;""><strong>PrEPr-7</strong></span> PrEP number",,"format PPDDSS-YYYY-V-#####",,,,,"[prepr_access] = 'Y'",y,,,,,
prepr_age,prep_initial_register,,radio,"<span style=""color: green;""><strong>PrEPr-8</strong></span> Age group at initial visit","1, 10-14 years | 2, 15-19 years | 3, 20-24 years | 4, 25-29 years | 5, 30-34 years | 6, 35-39 years | 7, 40-44 years | 8, 45-49 years | 9, 50-54 years | 10, 55-59 years | 11, 60-64 years | 12, 65+ years",,,,,,"[prepr_access] = 'Y'",y,,,,,
prepr_age_explain,prep_initial_register,,notes,"<span style=""color: green;""><strong>PrEPr-8b</strong></span> Explain if client was a mature minor (Less than 16 years old)",,,,,,,"[prepr_age] = '1' or [prepr_age] = '2'",y,,,,,
prepr_entry_point,prep_initial_register,,radio,"<span style=""color: green;""><strong>PrEPr-9</strong></span> Entry Point","A, Antenatal Clinic | B, General VCT Clinic | C, STI Clinic | D, VMMC | E, InPatient | F, TB",,,,,,"[prepr_access] = 'Y'",y,,,,,
prepr_risk_assessment,prep_initial_register,,radio,"<span style=""color: green;""><strong>PrEPr-10</strong></span> Risk Assessment Conclusion","HR, Client is at high HIV risk | NHR, Client is not at high HIV risk | AcHIV, Suspected Acute HIV infection | PEP, Post Exposure Prophylaxis offered | REQ, Client not HR but requests PrEP | ND, Not done",,,,,,"[prepr_access] = 'Y'",y,,,,,
prepr_creatinine_done,prep_initial_register,,yesno,"<span style=""color: green;""><strong>PrEPr-11a</strong></span> Creatinine Clearance test done?",,,,,,,"[prepr_access] = 'Y'",y,,,,,
prepr_creatinine,prep_initial_register,,radio,"<span style=""color: green;""><strong>PrEPr-11b</strong></span> Creatinine clearance","P, Pass ( greater than 60ml/min) | F, Fail ( less than 60ml/min or known renal impairment)",,,,,,"[prepr_creatinine_done] = '1'",y,,,,,
prepr_sti_screening,prep_initial_register,,yesno,"<span style=""color: green;""><strong>PrEPr-12a</strong></span> STI Screening done?",,,,,,,"[prepr_access] = 'Y'",y,,,,,
prepr_sti_results,prep_initial_register,,radio,"<span style=""color: green;""><strong>PrEPr-12b</strong></span> Record the results (Section C in client form)","NEG, No STI diagnosed | HepB, Positive for Hepatitis B | HepC, Positive for Hepatitis C | Syph, Positive for Syphilis | O, Positive for other STI",,,,,,"[prepr_sti_screening] = '1'",y,,,,,
prepr_other_sti,prep_initial_register,,notes,"<span style=""color: green;""><strong>PrEPr-12c</strong></span> Specify other STIs ",,,,,,,"[prepr_sti_results] = 'O'",y,,,,,
prepr_sti,prep_initial_register,,descriptive,"<span style=""color: red;""><strong>Please complete the STI Register for this patient</strong></span>",,,,,,,"[prepr_sti_results] = 'HepB' or [prepr_sti_results] = 'HepC' or [prepr_sti_results] = 'Syph' or [prepr_sti_results] = 'O' or [prepr_other_sti] = ''",,,,,,
prepr_prep_initiate,prep_initial_register,,yesno,"<span style=""color: green;""><strong>PrEPr-13</strong></span> Does the client agree to Initiate PrEP?",,"section c in client form",,,,,"[prepr_access] = 'Y'",y,,,,,
prepr_first_prep,prep_initial_register,,yesno,"<span style=""color: green;""><strong>PrEPr-14</strong></span> Is this the client's first initiation on PrEP this year?",,,,,,,"[prepr_prep_initiate] = '1'",y,,,,," @HIDDEN"
prepr_prep_initiate_no,prep_initial_register,,notes,"<span style=""color: green;""><strong>PrePr-14b</strong></span> Why does the client reject PrEP Initiation?",,,,,,,"[prepr_prep_initiate] = '0'",y,,,,," @HIDDEN"
prepr_prep_start_date,prep_initial_register,,text,"<span style=""color: green;""><strong>PrEPr-14</strong></span> PrEP start date",,,date_ymd,,,,"[prepr_prep_initiate] = '1'",y,,,,,
prep_access,prep_follow_ups,,radio,"<span style=""color: green;""><strong>PrEP-S</strong></span> Did the client access this service?","Y, Yes | N, No | UN, Unverified",,,,,,,y,,,,,
prep_visit_date,prep_follow_ups,,text,"<span style=""color: green;""><strong>PrEP-19a</strong></span> Visit date",,,date_ymd,,,,"[prep_access] = 'Y'",y,,,,,
prep_next_visit_date,prep_follow_ups,,text,"<span style=""color: green;""><strong>PrEP-19b</strong></span> Next visit date",,,date_ymd,,,,"[prep_access] = 'Y'",y,,,,,
prep_hiv_test,prep_follow_ups,,yesno,"<span style=""color: green;""><strong>PrEP-19c</strong></span> HIV test done?",,,,,,,"[prep_access] = 'Y'",y,,,,,
prep_hiv_test_results,prep_follow_ups,,radio,"<span style=""color: green;""><strong>PrEP-19c-1</strong></span> What are the results","P, Positive | N, Negative | I, Inconclusive",,,,,,"[prep_hiv_test] = '1'",y,,,,,
prep_hiv_test_nd,prep_follow_ups,,notes,"<span style=""color: green;""><strong>PrePr-19c-2</strong></span> Why was HIV test not done?",,,,,,,"[prep_hiv_test] = '0'",y,,,,,
prep_visit_status,prep_follow_ups,,radio,"<span style=""color: green;""><strong>PrEP-19d</strong></span> Visit Status","E, Earlier than appointment | OT, On time | L, Late (less than 2 weeks) | D, Default (greater than 2 weeks but less than 90 days) | P, Previously LTFU ( greater than 90 days)",,,,,,"[prep_access] = 'Y'",y,,,,,
prep_risk_assessment,prep_follow_ups,,radio,"<span style=""color: green;""><strong>PrEP-19e</strong></span> Risk Assessment Conclusion","HR, Client is at high HIV risk | NHR, Client is not at high HIV risk | AcHIV, Suspected Acute HIV infection | PEP, Post Exposure Prophylaxis offered | REQ, Client not HR but requests PrEP | ND, Not done",,,,,,"[prep_access] = 'Y'",y,,,,,
prep_prep_type,prep_follow_ups,,radio,"<span style=""color: green;""><strong>PrEP-19g</strong></span> Prep Type","O, Oral, | R, Ring | I, Injectible",,,,,,"[prep_access] = 'Y'",y,,,,,
prep_pbreast,prep_follow_ups,,radio,"<span style=""color: green;""><strong>PrEP-19h</strong></span> Pregnant/Breast feeding?","P, Pregnant | B, Breast Feeding | NA, Not Applicable",,,,,,"[prep_access] = 'Y'",y,,,,,
prep_follow_up_status,prep_follow_ups,,radio,"<span style=""color: green;""><strong>PrEP-19i</strong></span> Prep Follow Up status","Px, Active on PrEP | OO, Client Opted Out | WTH, Clinician decision  to withdraw | TO, Transfer out | TI, Transfer In | SC, Seroconversion | D, Client Died | LTFU, Lost to follow up",,,,,,"[prep_access] = 'Y'",y,,,,,
prep_adverse_events,prep_follow_ups,,radio,"<span style=""color: green;""><strong>PrEP-19j</strong></span> Adverse events reported","NON, Non reported | MIL, Mild adverse events | MOD, Moderate adverse events | SAE, Severe adverse events",,,,,,"[prep_access] = 'Y'",y,,,,,
prep_copt_out_date,prep_follow_ups,,text,"<span style=""color: green;""><strong>PrEP-20</strong></span> Date of Client Opt Out",,,date_ymd,,,,"[prep_follow_up_status] = 'OO'",y,,,,,
prep_cwithdrawal_date,prep_follow_ups,,text,"<span style=""color: green;""><strong>PrEP-20</strong></span> Date of Clinical Withdrawal",,,date_ymd,,,,"[prep_follow_up_status] = 'WTH'",y,,,,,
prep_withdrawal_reason,prep_follow_ups,,radio,"<span style=""color: green;""><strong>PrEP-22a</strong></span> Reason for Opt-Out, discontinuation or withdrawal","RP, Change in risk profile | REF, Plans to re-initiate in the future | MIL, Mild adverse events | MOD, Moderate adverse events | SAE, Severe adverse events | CRCL, Creatinine fail/renal impairment | PAR, Partner or parent concerns | OPREV, Prefers other HIV prevention strategies | PD, Pill Burden | CIL, Change in Location | FPHR, Fear of periodic HIV re-test | O, Other",,,,,,"[prep_follow_up_status] = 'OO' or [prep_follow_up_status] = 'WTH' or [prep_follow_up_status] = 'TO' or [prep_follow_up_status] = 'LTFU'",y,,,,,
prep_with_other,prep_follow_ups,,text,"<span style=""color: green;""><strong>PrEP-22b</strong></span> Other Specify",,,,,,,"[prep_withdrawal_reason] = 'O'",y,,,,,
prep_client_outcome,prep_follow_ups,,radio,"<span style=""color: green;""><strong>PrEP-23</strong></span> Client outcome","1, Switching from oral to injectable | 2, Switching from injectable to oral | 3, Discontinued | 4, Transferred out",,,,,,"[prep_access] = 'Y'",y,,,,,
prep_service_provider,prep_follow_ups,,radio,"<span style=""color: green;""><strong>PrEP-24</strong></span> Service Provider","1, Provider | 2, Nurse | 3, Midwife",,,,,,"[prep_access] = 'Y'",y,,,,,
prep_comments,prep_follow_ups,,notes,"<span style=""color: green;""><strong>PrEP-25</strong></span> Comments",,,,,,,"[prep_access] = 'Y'",,,,,,
mh_access,mental_health,,radio,"<span style=""color: purple;""><strong>MH-S</strong></span> Did the client access this service?","Y, Yes | N, No | UN, Unverified",,,,,,,y,,,,,
mh_screening_tools,mental_health,,yesno,"<span style=""color: purple;""><strong>MH-0</strong></span> Does client have/undergo any Mental Health Screening Tools?",,,,,,,"[mh_access] = 'Y'",y,,,,,
mh_screening_results,mental_health,,radio,"<span style=""color: purple;""><strong>MH-1</strong></span> What was the screening result?","P, Positive | N, Negative | NA, Not Applicable",,,,,,"[mh_screening_tools] = '1'",y,,,,,
mh_management_outcome,mental_health,,radio,"<span style=""color: purple;""><strong>MH-2</strong></span> Management outcome?","R, Referred | M, Managed | B, Both referred and managed, | N, Not Applicable",,,,,,"[mh_screening_tools] = '1'",y,,,,,
mh_substance_identified,mental_health,,yesno,"<span style=""color: purple;""><strong>MH-3</strong></span> Was substance use identified?",,,,,,,"[mh_screening_tools] = '1'",y,,,,,
mh_substance_used,mental_health,,checkbox,"<span style=""color: purple;""><strong>MH-4</strong></span> Substance used?","1, Benzodiazepines | 2, Opioids | 3, Alcohol | 4, Crystal Meth | 5, Cannabis | 6, Cocaine | 7, Homemade | 8, Other (Specify)",,,,,,"[mh_substance_identified] = '1'",y,,,,,
mh_substance_oth,mental_health,,notes,"<span style=""color: purple;""><strong>MH-4a</strong></span>Specify other substances.",,,,,,,"[mh_substance_used(8)] = '1'",y,,,,,
mh_pnq,mental_health,,radio,"<span style=""color: purple;""><strong>MH-5</strong></span> PNQ Score","A, 2 Points | B, 3-4 Points | C, 5-6 Points | D, 7-8 points | E, 9-10 points",,,,,,"[mh_screening_tools] = '1'",,,,,,
mh_ssq,mental_health,,radio,"<span style=""color: purple;""><strong>MH-6</strong></span> SSQ Score","0, None | 1, Slight | 2, Moderate | 3, Severe",,,,,,"[mh_screening_tools] = '1'",,,,,,
mh_substance_use,mental_health,,text,"<span style=""color: purple;""><strong>MH-7</strong></span> Substance use",,,,,,,"[mh_screening_tools] = '1'",,,,,," @HIDDEN"
he_access,health_education,,radio,"<span style=""color: blue;""><strong>HE-S</strong></span> Did the client access this service?","Y, Yes | N, No | UN, Unverified",,,,,,,y,,,,,
he_receive,health_education,,yesno,"<span style=""color: blue;""><strong>HE-1</strong></span> Did the client receive health education?",,,,,,,"[he_access] = 'Y'",y,,,,,
he_receive_from,health_education,,checkbox,"<span style=""color: blue;""><strong>HE-2</strong></span> From whom did they receive it?","1, Peer | 2, Adolescent nurse | 3, VHW | 4, other HCW | 5, Digital Health Hub App",,,,,,"[he_receive] = '1'",y,,,,,
he_topics,health_education,,checkbox,"<span style=""color: blue;""><strong>HE-3</strong></span>  Which topics were discussed?","1, STI | 2, HIV | 3, PREP | 4, Contraception | 5, Menstrual Health | 6, ANC | 7, PNC | 8, Depression | 9, Anxiety | 10, Substance use | 11, Other",,,,,,"[he_receive_from(1)] = '1' or [he_receive_from(2)] = '1' or [he_receive_from(3)] = '1' or [he_receive_from(4)] = '1' or [he_receive_from(5)] = '1'",y,,,,,
hp_topics_other,health_education,,text,"<span style=""color: blue;""><strong>HE-3a</strong></span> Specify on other",,,,,,,"[he_topics(11)] = '1'",y,,,,,
couns_access,counselling,,radio,"<span style=""color: red;""><strong>C-S</strong></span> Did the client access this service?","Y, Yes | N, No | UN, Unverified",,,,,,,y,,,,,
couns_receive,counselling,,yesno,"<span style=""color: red;""><strong>C-3</strong></span> Did client receive any counseling?",,,,,,,"[couns_access] = 'Y'",y,,,,,
counc_who,counselling,,checkbox,"<span style=""color: red;""><strong>C-2</strong></span> Who did the counseling on the client? Select all necessary.","1, Peer | 2, Adolescent Nurse | 3, Counselor | 4, VHW, | 5, Other HCW",,,,,,"[couns_receive] = '1'",y,,,,,
pls_access,peer_support_register,,radio,"<font color=""red""><b>PS-S</b></font> Did the client access this service?","Y, Yes | N, No | UN, Unverified",,,,,,,y,,,,,
pls_session_conducted,peer_support_register,,yesno,"<font color=""red""><b>PS-0</b></font> Was a peer-led session conducted?",,,,,,,"[pls_access] = 'Y'",y,,,,,
pls_date,peer_support_register,,text,"<font color=""red""><b>PS-1</b></font>  Peer-Led support session date.",,,date_ymd,,,,"[pls_session_conducted] = '1'",y,,,,,
pls_number,peer_support_register,,text,"<font color=""red""><b>PS-3</b></font>  Number of Peer-Led Sessions conducted: ",,,integer,0,,,"[pls_session_conducted] = '1'",y,,,,,
pls_ado_number,peer_support_register,,text,"<font color=""red""><b>PS-4</b></font>  Number of adolescents reached through peer activities: ",,,integer,0,,,"[pls_session_conducted] = '1'",y,,,,,
